timestamp,open,high,low,close,volume,transparent_open,transparent_high,transparent_low,transparent_close,transparent_volume,volume_transparency.?,volume_transparency.A,volume_transparency.B,volume_transparency.C,volume_transparency.D
2022-06-08T00:00:00Z,0.61850941,0.63343629,0.60420744,0.61056309,415681684.75,0.61829523,0.63244857,0.60425549,0.60934700,134552250.68,983141,134552250,4623609,182745834,92776849
2022-06-07T00:00:00Z,0.63326561,0.63528226,0.58699299,0.61925961,607897747.69,0.63321472,0.63430436,0.58690521,0.61896757,218584739.24,965893,218584739,12158869,292006064,84182180
2022-06-06T00:00:00Z,0.59943258,0.65653129,0.59892440,0.63402437,671421523.28,0.59889737,0.65598351,0.59889737,0.63373269,233916267.26,1200475,233916267,10004426,345018497,81281856
2022-06-05T00:00:00Z,0.59858214,0.60897460,0.58732054,0.60053208,382455628.60,0.59794461,0.60800533,0.58695762,0.59978826,108008022.97,441198,108008022,3668611,229020108,41317687
2022-06-04T00:00:00Z,0.59176597,0.60340529,0.57956644,0.59830370,343472912.66,0.59098610,0.60288792,0.57949212,0.59765628,105905929.93,412855,105905929,4366360,199246906,33540860
2022-06-03T00:00:00Z,0.62053474,0.62113517,0.57726534,0.59086853,488557477.55,0.62029206,0.62029206,0.57651447,0.59028258,176360191.27,629452,176360191,11305752,256019605,44242475
2022-06-02T00:00:00Z,0.60142588,0.62242802,0.59222933,0.61964083,602279521.34,0.60113752,0.62217352,0.59249203,0.61961638,220082140.91,837981,220082140,13449220,297861454,70048724
2022-06-01T00:00:00Z,0.66317773,0.66882678,0.58888033,0.60249530,703442176.52,0.66291625,0.66671208,0.58827374,0.60189126,272169104.58,1319288,272169104,15686033,319005423,95262325
2022-05-31T00:00:00Z,0.65799227,0.68431255,0.64366202,0.66306375,742626301.55,0.65773086,0.68387995,0.64307520,0.66290526,331025171.58,1530693,331025171,13069698,278373970,118626766
2022-05-30T00:00:00Z,0.60031477,0.66208609,0.59973419,0.65788920,776908673.23,0.59998832,0.66243037,0.59998832,0.65783986,295102408.42,1358799,295102408,11284553,362161874,107001037
2022-05-29T00:00:00Z,0.58912386,0.60317558,0.57627481,0.60109619,489765661.43,0.58887385,0.60281141,0.57610441,0.60080071,167848887.80,690705,167848887,5321611,261389291,54515164
2022-05-28T00:00:00Z,0.57703325,0.59907475,0.57029797,0.58964185,523457462.01,0.57633340,0.59868778,0.56961899,0.58919503,181594388.48,664618,181594388,6493639,266133377,68571438
